,word,phonetic,translation
1080,incoming,'inkʌmiŋ,"a. 进来的, 刚开始的, 新来的
n. 进来"
1081,pedestal,'pedistl,"n. 支柱, 基架, 基座, 基础
vt. 加座, 搁在台上, 支持, 提高...的地位"
1082,republic,ri'pʌblik,"n. 共和国, 共和政体, 团体, 界"
1083,widely,'waidli,adv. 广泛地
1084,coherence,kәu'hiәrәns,"n. 黏合(性), 连贯性, 一致性
[化] 相干性"
1085,EM,em,"[计] 媒体用毕符
[化] 射气"
1086,sphere,sfiә,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
1087,brilliance,'briljәns,"n. 卓越, 光辉
[电] 辉度"
1088,completely,kәm'pli:tli,"adv. 完全地, 十分地, 圆满地"
1089,integral,'intigrәl,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
[计] 积分"
1090,objective,әb'dʒektiv,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
1091,brown,braun,"n. 褐色
a. 褐色的
v. (使)变褐色"
1092,competing,,a. 相互矛盾的；抵触的
1093,decreasing,di'kri:siŋ,[计] 下降的
1094,outside,'aut'said,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
1095,interval,'intәvәl,"n. 间隔, 距离, 间歇, 间隙
[计] 时间间隔"
1096,mail,meil,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
[计] 邮件"
1097,oxygen,'ɒksәdʒәn,"n. 氧
[化] 氧O-2"
1098,return,ri'tә:n,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
[计] 返回"
1099,confinement,kәn'fainmәnt,"n. 限制, 被禁闭, 分娩
[医] 分娩, 生产"
1100,copper,'kɒpә,"n. 铜, 警察
[化] 铜Cu"
1101,difficult,'difikәlt,a. 困难的
1102,incoherent,.inkәu'hiәrәnt,"a. 不连贯的, 语无伦次的
[医] 不连贯的"
1103,among,ә'mʌŋ,prep. 在...之中
1104,instrument,'instrumәnt,"n. 工具, 手段, 仪器
[化] 仪器"
1105,origin,'ɒridʒin,"n. 起源, 起因, 出身, 开端
[计] 原点; 起始地址; 信件来源的相关数据"
1106,spontaneous,spɒn'teiniәs,"a. 自然的, 自发的, 未经琢磨的
[医] 自发的, 特发的, 自生的"
1107,tin,tin,"n. 锡, 马口铁, 罐头
vt. 在...镀锡于
a. 锡制的
[计] tin阅读程序"
1108,wall,wɒ:l,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
[计] 背景墙"
1109,cite,sait,"vt. 引用, 引证, 表彰
[建] 引证, 指引"
1110,go,gou,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
1111,issue,'isju,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
1112,tool,tu:l,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
1113,understand,.ʌndә'stænd,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
1114,established,is'tæbliʃt,"a. (被)建立的, 固定的, 既定的, 确定的, 确认的, 确立的, (被)制定的
[计] 确定的, 既定的"
1115,list,list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
[计] 列表, 序列, 数据清单"
1116,partially,'pɑ:ʃәli,"adv. 部分地, 一部分地, 不公平地"
1117,pumping,'pʌmpiŋ,"n. 抽水, 泵送
[化] 抽运"
1118,tailored,'teilәd,"a. 裁缝做的, 似裁缝做的, 特制的, 定做的, 穿着考究的, 时髦的, 干净利索的"
1119,epoch,'i:pɒk,"n. 新纪元, 时代, 时期"
1120,storage,'stɒ:ridʒ,"n. 存储器, 储藏, 保管, 库存, 仓库
[计] 存放处; 存储"
1121,ability,ә'biliti,"n. 能力, 才干
[经] 能力, 才能"
1122,art,ɑ:t,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
[计] 实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间"
1123,block,blɒk,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
[计] 块, 数据块"
1124,controlling,,"[计] 控制的
[经] 控制"
1125,converted,kәn'vә:tid,a. 修改的；改变信仰的
1126,differ,'difә,"vi. 不一致, 不同
[机] 差异, 不同"
1127,user,'ju:zә,"n. 使用者
[计] 用户"
1128,waist,weist,"n. 腰部, 腰
[医] 腰"
1129,works,,"n. 工程, 工厂, 工事, 活动部件, 机件, 著作, 作品, 善行, 德行
[机] 工厂, 工场"
1130,capable,'keipәbl,"a. 有能力的, 能的, 能干的"
1131,computer,kәm'pju:tә,"n. 电脑, 电子计算机
[计] 计算机"
1132,emit,i'mit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
[化] 放射"
1133,choice,tʃɒis,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
[计] DOS内部命令:在批处理文件中
该命令用于提示用户作出选择, 决定批处理文件的流程"
1134,develop,di'velәp,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
1135,identical,ai'dentikәl,"a. 同一的, 恒等的, 完全相同的
[医] 同一的, 同等的"
1136,lateral,'lætәrәl,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
1137,skin,skin,"n. 皮肤, 皮
vt. 剥皮, 在...植皮
vi. 长皮, 愈合, 蜕皮"
1138,symmetry,'simitri,"n. 对称, 匀称
[化] 对称; 对称性; 对称现象"
1139,acknowledge,әk'nɒlidʒ,"vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知"
1140,correspondence,.kɒri'spɒndәns,"n. 相符, 通信, 信件
[医] 对应, 相对"
1141,oblique,ә'bli:k,"a. 斜的, 倾斜的, 间接的, 不光明正大的, 躲躲闪闪的
[医] 斜的"
1142,tar,tɑ:,"n. 焦油, 柏油, 水手
vt. 涂以焦油, 玷污, 怂恿
a. 焦油的"
1143,contribute,kәn'tribju:t,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
1144,instance,'instәns,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
1145,primary,'praimәri,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
[计] 初等量; 主要的; 一次的"
1146,realistic,riә'listik,"a. 现实的, 逼真的, 现实主义的, 实在论的"
1147,affect,ә'fekt,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
1148,optic,'ɒptik,"a. 眼睛的, 视觉的, 光学的
n. 镜片"
1149,raw,rɒ:,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
[计] 写后读"
1150,simply,'simpli,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
1151,spacing,'speisiŋ,"n. 留间隔, 空隙, 空白, 间隔
[计] 间隔"
1152,actual,'æktʃuәl,"a. 真实的, 实际的, 现行的
[医] 实际死亡率"
1153,attribution,әtri'bju:ʃәn,"n. 归因
[法] 归因, 归属, 属性"
1154,determination,di.tә:mi'neiʃәn,"n. 决心, 果断
[化] 判定; 测定"
1155,tightly,'taitli,"adv. 紧紧地, 坚固地"
1156,dual,'dju:әl,"a. 双重的, 双的
n. 双数"
1157,letter,'letә,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
[计] 字母"
1158,standing,'stændiŋ,"n. 起立, 持续, 身分
a. 立着的, 不动的, 经常的, 持续的"
1159,stark,stɑ:k,"a. 僵硬的, 完全的, 刻板的, 明显的, 荒凉的, 结实的
adv. 突出地, 简直, 全然"
1160,suggested,,a. 建议的；暗示的
1161,consequence,'kɒnsikwәns,"n. 结果, 重要性
[法] 结果, 后果, 推断"
1162,every,'evri,"a. 每一, 所有的"
1163,existing,i^'zistiŋ,"a. 存在的, 目前的, 现存的, 现有的
[计] 现成的, 已有的, 现存的"
1164,proceedings,,"n. 诉讼, 事项, 行径, 事件, 活动, 项目, 会议录, 记录汇编, 活动记录"
1165,text,tekst,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱
[计] 电文; 文本; 正文"
1166,accelerate,әk'selәreit,"v. 加速, 促进"
1167,etc,,"及其他, 等等"
1168,achievable,ә'tʃi:vәbl,"a. 做得成的, 可完成的, 可有成就的"
1169,cancer,'kænsә,"n. 癌, 恶性肿瘤
[医] 癌"
1170,cost,kɒst,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
1171,opposite,'ɒpәzit,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
1172,variety,vә'raiәti,"n. 多样, 种类, 变种, 杂耍
[化] 变种"
1173,challenge,'tʃælindʒ,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
1174,den,den,"n. 兽穴, 洞穴
[法] 匪巢, 贼窝"
1175,macro,'mækrәu,"pref. 宏
a. 巨大的, 大量的
[计] 宏"
1176,perform,pә'fɒ:m,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
1177,starting,'stɑ:tiŋ,"n. 开端, 开始, 出发, 起动, 开动
[机] 开动, 起动"
1178,carrier,'kæriә,"n. 运送者, 邮递员, 带菌者
[计] 载波"
1179,covered,'kʌvәd,"a. 隐蔽着的, 掩藏着的, 有屋顶的
[建] 涂抹了的, 覆盖了的, 掩盖了的"
1180,foster,'fɒstә,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
1181,king,kiŋ,"n. 国王, 君主
vt. 使...成为君主
vi. 君临, 统治"
1182,knowledge,'nɒlidʒ,"n. 知识, 学问, 认识, 知道"
1183,powerful,'pauәful,"a. 有力的, 有权力的, 强大的
[机] 强力的"
1184,refer,ri'fә:,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
1185,working,'wә:kiŋ,"n. 工作, 运转, 劳动
a. 工作的, 劳动的, 经营的, 抽搐的, 运转的"
1186,challenging,'tʃælindʒiŋ,"a. 挑战的, 引起争论的"
1187,distributed,di'stribju:tid,"a. 分布式的
[计] 分散对齐, 分布式处理"
1188,expanded,ik'spendid,a. 扩充的；展开的
1189,improvement,im'pru:vmәnt,"n. 进步, 改善, 利用
[医] 改善, 好转, 进步"
1190,random,'rændәm,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
1191,assumption,ә'sʌmpʃәn,"n. 假定, 自负, 担任, 假装
[经] 假定, 承担"
1192,cause,kɒ:z,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
1193,distortion,dis'tɒ:ʃәn,"n. 扭曲, 变形, 曲解
[计] 畸变; 失真"
1194,help,help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
[计] 帮助, 帮助程序; DOS外部命令: DOS命令的电子文件帮助程序"
1195,holder,'hәuldә,"n. 持有人, 所有人, 支持物
[化] 夹持器; 夹具; 贮罐"
1196,iodine,'aiәdi:n,"n. 碘, 碘酒
[化] 碘I-2"
1197,separate,'sepәreit,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
1198,exact,ig'zækt,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
1199,formula,'fɒ:mjulә,"n. 客套语, 公式, 准则
[计] 公式"
1200,giving,'giviŋ,"n. 礼物, 给予物
[法] 给予物, 礼物"
1201,interact,.intәr'ækt,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
1202,internal,in'tә:nәl,"a. 内在的, 国内的
[医] 内的, 内部的"
1203,steep,sti:p,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
1204,variable,'vєәriәbl,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
[计] 变量"
1205,debris,'deibri:,"n. 碎片, 残骸
[医] 碎屑"
1206,prior,'praiә,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
1207,picture,'piktʃә,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
[计] 图象; 形象; 字形"
1208,school,sku:l,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
1209,against,ә'geinst,"prep. 反对, 对着, 倚靠"
1210,bar,bɑ:,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
[计] 棒形图"
1211,greatly,'greitli,"adv. 很, 非常"
1212,mostly,'mәustli,"adv. 大概, 大部分, 主要
[经] 大部份"
1213,sensor,'sensә,"n. 传感器
[计] 检测器"
1214,suggest,sәg'dʒest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
[法] 建议, 提出, 提议"
1215,alternative,ɒ:l'tә:nәtiv,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
[计] 选择对象"
1216,coil,kɒil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
1217,computing,kәm'pju:tiŋ,[计] 计算
1218,copyright,'kɒpirait,"n. 版权, 著作权
[法] 著作权"
1219,onset,'ɒnset,"n. 开始, 攻击, 进攻
[医] 起始, 开始"
1220,play,plei,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
[计] 播放"
1221,start,stɑ:t,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
[计] 起始"
1222,vary,'vєәri,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
1223,body,'bɒdi,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
[计] 体"
1224,droplet,'drɒplit,"n. 小滴
[医] 小滴"
1225,implementation,.implimen'teiʃәn,"n. 安装启用, 实行, 履行
[计] 实施; 实现"
1226,medical,'medikl,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
1227,mounted,'mauntid,"a. 安在马上的, 裱好的"
1228,normally,'nɒ:mәli,"adv. 正规地, 合规则, 正常地"
1229,thereby,'ðєәbai,adv. 因此
1230,action,'ækʃәn,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
[计] 方式"
1231,expect,iks'pekt,"vt. 预期, 盼望, 期待"
1232,log,lɒg,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
[计] 日志"
1233,projectile,prә'dʒektil,"n. 发射体, 抛射物
a. 发射的, 投射的"
1234,run,rʌn,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
[计] 运行"
1235,breaking,'breikiŋ,"[计] 断开, 停止, 设断点
[化] 打开; 分割; 打碎; 轧碎; 破碎"
1236,location,lәu'keiʃәn,"n. 位置, 场所, 特定区域
[计] 位置"
1237,ramp,ræmp,"n. 斜坡, 坡道, 敲诈
vi. 狂跳乱撞, 乱冲, 敲诈, 蔓延
vt. 使有斜面, 敲诈"
1238,slowly,'slәuli,"adv. 慢慢地, 迟缓地"
1239,matched,,a. 相配的；敌得过的
1240,neglected,ni'^lektid,"a. 被忽视的, 未被好好照管的
[法] 未被好好照管的, 被忽视的"
1241,collected,kә'lektid,"a. 收集成的, 镇定的"
1242,interested,'intristid,"a. 感兴趣的
[法] 有利害关系的, 有股份的, 偏私的"
1243,opening,'әupәniŋ,"n. 开始, 口子, 穴, 揭幕
a. 开始的"
1244,outer,'autә,"a. 外部的, 外面的, 在外的, 远离中心的
[机] 外部的, 外面的, 外侧的"
1245,post,pәust,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
[计] 记入; 登记, 上电自检"
1246,remain,ri'mein,"vi. 保持, 逗留, 剩余
[法] 停留, 居住, 继续"
1247,reserved,ri'zә:vd,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
[法] 用作储备的, 保留的, 预定的"
1248,therapy,'θerәpi,"n. 治疗
[医] 疗法, 治疗"
1249,tight,tait,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
1250,beginning,bi'giniŋ,n. 开始
1251,capability,.keipә'biliti,"n. 能力, 性能, 约束力
[化] 能力"
1252,ensure,in'ʃuә,"vt. 确定, 保证, 担保, 保护
[经] 确保, 确定"
1253,except,ik'sept,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
1254,orange,'ɒ:rindʒ,"n. 柑橘, 桔子, 橘色
a. 橘色的"
1255,orbit,'ɒ:bit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
1256,prediction,pri'dikʃәn,"n. 预言, 预报
[化] 预测"
1257,sect,sekt,"n. 宗派, 教派"
1258,world,wә:ld,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
[法] 世界, 地球, 世人"
1259,media,'mi:diә,"n. 媒体
[计] 媒质"
1260,modern,'mɒdәn,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
1261,penetration,.peni'treiʃәn,"n. 穿透, 渗透, 侵入, 识穿, 洞察(力)
[化] 渗入"
1262,substantial,sәb'stænʃәl,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
1263,trend,trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
[计] 趋势"
1264,composition,kɒmpә'ziʃәn,"n. 作文, 创作, 组成
[化] 成分; 组成"
1265,divided,dә'vaidid,a. 分开的
1266,grown,grәun,"a. 长大的, 成年的, 长满某物的
grow的过去分词"
1267,little,'litl,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
1268,sea,si:,"n. 海, 海洋, 海浪, 大量
[法] 海, 海洋"
1269,contact,'kɒntækt,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
1270,desired,di'zaiәd,a. 渴望的；想得到的
1271,filtering,'filtәriŋ,[计] 过滤
1272,guided,'ɡaidid,a. 有指导的；有向导的
1273,publication,.pʌbli'keiʃәn,"n. 出版物, 出版, 公布
[经] 发布"
1274,situation,.sitju'eiʃәn,"n. 情形, 境遇, 位置
[医] 情境, 处境"
1275,ten,ten,"num. 十, 十个"
1276,tomography,tә'mɒgrәfi,"n. X线断层摄影术
[医] X线体层照相术, X线断层照相术"
1277,confirmed,kәn'fә:md,"a. 被证实的, 根深蒂固的, 坚定的
[经] 保兑的, 业经证实的"
1278,deliver,di'livә,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
[经] 交运"
1279,distinct,dis'tiŋkt,"a. 清楚的, 显著的, 不同的"
1280,exchange,iks'tʃeindʒ,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
[计] 交换; 电话局"
1281,let,let,"vt. 让, 假设, 出租, 排放, 妨碍
vi. 出租, 被承包
n. 出租屋, 障碍"
1282,retrieval,ri'tri:vl,"n. 取回, 恢复, 检索
[计] 检索"
1283,availability,ә.veilә'biliti,"n. 有效性, 可利用性, 可利用的人
[计] 有效性; 可用性"
1284,characterize,'kærәktәraiz,"vt. 描绘...的特性, 刻划...的性格"
1285,estimation,.esti'meiʃәn,"n. 判断, 估计, 尊重
[化] 估计; 估定; 测定; 估值"
1286,experience,ik'spiәriәns,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
1287,faster,,[计] 加快
1288,nevertheless,.nevәðә'les,"adv. 然而, 虽然如此
conj. 然而"
1289,steady,'stedi,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
1290,successfully,sәk'sesfjli,"adv. 成功, 结果良好, 有成就"
1291,underlying,.ʌndә'laiiŋ,"a. 在下面的
[经] 优先的, 基础的, 放在下面的"
1292,crossing,'krɒsiŋ,"n. 横越, 横渡, 交叉点, 渡口
[经] 划线"
1293,drift,drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
1294,essentially,i'senʃәli,"adv. 本质上, 本来"
1295,packet,'pækit,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
[计] 分组, 分组报文, 数据分组"
1296,projection,prә'dʒekʃәn,"n. 发射, 计划, 突出部分, 设计, 推测
[计] 投影"
1297,slab,slæb,"n. 平板, 厚片
vt. 切成厚板, 以平板盖上"
1298,differential,difә'renʃәl,"a. 差别的, 特异的, 微分的
n. 差别, 两路线运费差额, 工资差额"
1299,effectively,i'fektivli,"adv. 有效地, 有力地, 实际上"
1300,move,mu:v,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
[计] 移动; 传送; DOS外部命令:移动文件, 它可将文件移动到指定的地方"
1301,park,pɑ:k,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
1302,striped,straipt,a. 有斑纹的
1303,theoretically,.θi:ә'retikli,"adv. 理论上, 理论地"
1304,drop,drɒp,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
[计] 投入, 投入点, 接入点, 分接点"
1305,partial,'pɑ:ʃәl,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
1306,past,pɑ:st,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
1307,product,'prɒdʌkt,"n. 产品, 结果, 乘积
[化] 生产物"
1308,radio,'reidiәu,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台
v. 用无线电发送"
1309,approaching,,v. 进场；侵入；接近（approach的ing形式）
1310,counter,'kauntә,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
[计] 计数器; 计数字"
1311,induce,in'dju:s,"vt. 引诱, 招致, 归纳出, 感应
[医] 诱导, 感应"
1312,interpretation,in.tә:pri'teiʃәn,"n. 解释, 演出, 翻译
[计] 插值; 插值法; 解释"
1313,precise,pri'sais,"a. 精确的, 严谨的, 明确的
[机] 精密的, 正确的"
1314,wafer,'weifә,"n. 薄酥饼, 圣饼, 晶片, 圆片, 干胶片
vt. 用干胶片封
[计] 圆片"
1315,follow,'fɒlәu,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
1316,integration,.inti'greiʃәn,"n. 综合, 与环境协调的行为, 集成
[化] 集成; 整合"
1317,tabletop,'teibltɒp,n. 桌面
1318,commonly,'kɒmәnli,"adv. 一般, 普通, 通常"
1319,extend,ik'stend,"v. 扩充, 延伸, 伸展, 扩大
[计] 扩展"
1320,kind,kaind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
1321,responsible,ri'spɒnsәbl,"a. 有责任的, 负责的, 责任重大的
[法] 应负责任的, 有责任的, 能履行责任的"
1322,stream,stri:m,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
[计] 流"
1323,why,hwai,"adv. 为什么
n. 原因, 理由"
1324,depletion,di'pli:ʃәn,"n. 消耗, 耗尽, 放血
[医] 排除, 缺失(液体), 衰竭[状态](由于缺液)"
1325,prevent,pri'vent,"v. 预防, 防止, 阻止, 妨碍"
1326,sheet,ʃi:t,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
[计] 工作表"
1327,tail,teil,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
1328,tan,tæn,"n. 黄褐色, 鞣料, 马戏团
a. 黄褐色的, 鞣皮的
vi. 晒成棕褐色
vt. 把...晒黑, 鞣(革), 狠狠鞭打"
1329,actually,'æktʃuәli,"adv. 事实上, 竟然, 如今, 现在"
1330,overview,'әuvәvju:,"n. 概述, 概观, 总的看法
[计] 概述"
1331,remaining,,[电] 剩余的
1332,similarly,'similәli,"adv. 相像地, 类似于"
1333,moment,'mәumәnt,"n. 片刻, 瞬间, 重要, 阶段, 力矩
[医] 片刻, 瞬间, 时机, 因素, 矩"
1334,opaque,әu'peik,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
[计] 白底"
1335,quickly,'kwikli,adv. 很快地
1336,telescope,'teliskәup,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
1337,throughout,θru:'aut,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
[计] 吞吐量"
1338,besides,bi'saidz,"prep. 除...之外
adv. 而且, 此外"
1339,deep,di:p,"a. 深的
adv. 深入地
n. 深渊, 深处"
1340,explain,ik'splein,"v. 解释, 说明"
1341,magnification,.mægnifi'keiʃәn,"n. 扩大, 放大率, 放大的复制品
[计] 缩放比例"
1342,overcome,.әuvә'kʌm,"vt. 战胜, 克服, 胜过
vi. 得胜"
1343,treatment,'tri:tmәnt,"n. 治疗, 待遇, 处理
[医] 疗法, 治疗; 处理"
1344,whether,'hweðә,"conj. 是否, 不论
pron. 两个中的哪一个"
1345,decreased,di:ˈkri:st,"v. （使）缩短, 减小, 减少( decrease的过去式和过去分词 )"
1346,innovation,.inәu'veiʃәn,"n. 改革, 创新
[法] 创新, 改革, 刷新"
1347,maximal,'mæksiml,"a. 最大的, 最高的
[医] 最大的, 最高的"
1348,micron,'maikrɒn,"n. 微米
[计] 微米"
1349,polar,'pәulә,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
1350,absence,'æbsәns,"n. 缺席, 缺乏, 没有
[医] 失神"
1351,collection,kә'lekʃәn,"n. 收集, 采集, (一批)收藏品, 募捐
[医] 收集; 收集品, 标本"
1352,fish,fiʃ,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
1353,five,faiv,"num. 五, 五个"
